make,model,year,color,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,city_kpl,price
Acura,RDX,2017,Gray,Petrol,279,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,3837000.00
Acura,RDX,2017,Silver,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,3927000.00
Acura,RDX,2017,Blue,Petrol,279,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.08,4207000.00
Acura,RDX,2017,Red,Petrol,279,6,Automatic,front wheel drive,4,J,Midsize,4dr SUV,8.50,4222000.00
Acura,RLX,2017,Black,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,5445000.00
Acura,RLX,2017,White,Petrol,310,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.50,6045000.00
Acura,TLX,2017,Black,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,3940000.00
Acura,TLX,2017,White,Petrol,290,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,4160000.00
Acura,TLX,2017,Red,Petrol,290,6,Automatic,front wheel drive,4,E,Midsize,Sedan,8.93,4260000.00
Acura,TLX,2017,Blue,Petrol,290,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,4480000.00
Acura,ILX,2017,Black,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,2799000.00
Acura,ILX,2017,White,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,2929000.00
Acura,ILX,2017,Red,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,2999000.00
Acura,TLX,2017,Black,Petrol,206,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.20,3190000.00
Acura,ILX,2017,Blue,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,3198000.00
Acura,ILX,2017,Silver,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,3299000.00
Acura,ILX,2017,Gray,Petrol,201,4,Automated manual,front wheel drive,4,C,Compact,Sedan,10.63,3498000.00
Acura,TLX,2017,White,Petrol,206,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.20,3595000.00
Aston Martin,DB9,2015,Black,Petrol,510,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,19829500.00
Aston Martin,DB9,2015,White,Petrol,510,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,18829500.00
Aston Martin,DB9,2015,Red,Petrol,510,12,Automatic,rear wheel drive,2,S,Midsize,Convertible,5.53,20329500.00
Aston Martin,DB9,2015,Blue,Petrol,510,12,Automatic,rear wheel drive,2,S,Midsize,Convertible,5.53,21329500.00
Aston Martin,Rapide S,2015,Black,Petrol,552,12,Automatic,rear wheel drive,4,F,Large,Sedan,5.95,20399500.00
Aston Martin,Vanquish,2015,Black,Petrol,568,12,Automatic,rear wheel drive,2,S,Midsize,Convertible,5.53,30169500.00
Aston Martin,Vanquish,2015,White,Petrol,568,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,28369500.00
Aston Martin,DB9 GT,2016,Black,Petrol,540,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,19825000.00
Aston Martin,DB9 GT,2016,White,Petrol,540,12,Automatic,rear wheel drive,2,S,Midsize,Convertible,5.53,21325000.00
Aston Martin,DB9 GT,2016,Red,Petrol,540,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,23530700.00
Aston Martin,Vanquish,2016,Gray,Petrol,568,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,28765000.00
Aston Martin,Vanquish,2016,Silver,Petrol,568,12,Automatic,rear wheel drive,2,S,Midsize,Coupe,5.53,30269500.00
Aston Martin,Vanquish,2016,Blue,Petrol,568,12,Automatic,rear wheel drive,2,S,Midsize,Convertible,5.53,30565000.00
Aston Martin,Vanquish,2016,Red,Petrol,568,12,Automatic,rear wheel drive,2,S,Midsize,Convertible,5.53,32069500.00
Aston Martin,Rapide S,2016,Red,Petrol,552,12,Automatic,rear wheel drive,4,F,Large,Sedan,5.95,20600000.00
Audi,A4,2015,Black,Petrol,220,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,4500000.00
Audi,A4,2015,White,Petrol,220,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,3970000.00
Audi,A4,2015,Gray,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,10.20,3550000.00
Audi,A4,2015,Silver,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,10.20,3760000.00
Audi,A4,2015,Blue,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,10.20,4290000.00
Audi,A4,2015,Red,Petrol,220,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,3760000.00
Audi,A6,2015,Black,Diesel,240,6,Automatic,all wheel drive,4,E,Midsize,Sedan,10.20,5870000.00
Audi,A6,2015,White,Petrol,220,4,Automatic,all wheel drive,4,E,Midsize,Sedan,8.50,5045000.00
Audi,A6,2015,Gray,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,10.63,4480000.00
Audi,A6,2015,Silver,Petrol,310,6,Automatic,all wheel drive,4,E,Midsize,Sedan,7.65,6010000.00
Audi,A6,2015,Blue,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,10.63,4835000.00
Audi,A6,2015,Red,Petrol,310,6,Automatic,all wheel drive,4,E,Midsize,Sedan,7.65,5630000.00
Audi,A7,2015,Black,Petrol,310,6,Automatic,all wheel drive,4,F,Large,Sedan,7.65,6590000.00
Audi,A7,2015,White,Petrol,310,6,Automatic,all wheel drive,4,F,Large,Sedan,7.65,6975000.00
Audi,A7,2015,Gray,Diesel,240,6,Automatic,all wheel drive,4,F,Large,Sedan,10.20,6830000.00
Audi,A7,2015,Silver,Diesel,240,6,Automatic,all wheel drive,4,F,Large,Sedan,10.20,7215000.00
Audi,allroad,2015,Black,Petrol,220,4,Automatic,all wheel drive,4,D,Midsize,Wagon,8.93,4450000.00
Audi,allroad,2015,Red,Petrol,220,4,Automatic,all wheel drive,4,D,Midsize,Wagon,8.93,4240000.00
Audi,allroad,2015,Blue,Petrol,220,4,Automatic,all wheel drive,4,D,Midsize,Wagon,8.93,4980000.00
Audi,Q3,2015,Black,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3250000.00
Audi,Q3,2015,White,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3640000.00
Audi,Q3,2015,Gray,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,3850000.00
Audi,Q3,2015,Silver,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,3460000.00
Audi,Q5,2015,Black,Petrol,272,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,5290000.00
Audi,Q5,2015,White,Diesel,240,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,10.20,4750000.00
Audi,Q5,2015,Gray,Petrol,245,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,10.20,5190000.00
Audi,Q5,2015,Silver,Petrol,220,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.50,4220000.00
Audi,Q5,2015,Blue,Petrol,220,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.50,3930000.00
Audi,Q5,2015,Red,Diesel,240,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,10.20,5500000.00
Audi,Q7,2015,Black,Petrol,333,6,Automatic,all wheel drive,4,J,Large,4dr SUV,6.80,6190000.00
Audi,Q7,2015,Red,Diesel,240,6,Automatic,all wheel drive,4,J,Large,4dr SUV,8.08,5340000.00
Audi,Q7,2015,White,Diesel,240,6,Automatic,all wheel drive,4,J,Large,4dr SUV,8.08,5990000.00
Audi,Q7,2015,Blue,Petrol,280,6,Automatic,all wheel drive,4,J,Large,4dr SUV,6.80,5480000.00
Audi,Q7,2015,Silver,Petrol,280,6,Automatic,all wheel drive,4,J,Large,4dr SUV,6.80,4830000.00
Audi,Q7,2015,Gray,Diesel,240,6,Automatic,all wheel drive,4,J,Large,4dr SUV,8.08,6540000.00
Audi,RS 7,2015,Black,Petrol,560,8,Automatic,all wheel drive,4,F,Large,Sedan,6.80,10650000.00
Audi,S8,2015,Black,Petrol,520,8,Automatic,all wheel drive,4,F,Large,Sedan,7.23,11490000.00
Audi,SQ5,2015,Black,Petrol,354,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.23,5270000.00
Audi,SQ5,2015,White,Petrol,354,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.23,6020000.00
Audi,A5,2016,Black,Petrol,220,4,Automatic,all wheel drive,2,S,Midsize,Coupe,9.35,4150000.00
Audi,A5,2016,White,Petrol,220,4,Automatic,all wheel drive,2,S,Midsize,Coupe,9.35,4380000.00
Audi,A5,2016,Gray,Petrol,220,4,Automatic,all wheel drive,2,S,Midsize,Convertible,8.93,4790000.00
Audi,A5,2016,Silver,Petrol,220,4,Automatic,all wheel drive,2,S,Midsize,Convertible,8.93,5020000.00
Audi,allroad,2016,Black,Petrol,220,4,Automatic,all wheel drive,4,D,Midsize,Wagon,8.93,4270000.00
Audi,allroad,2016,Gray,Petrol,220,4,Automatic,all wheel drive,4,D,Midsize,Wagon,8.93,4480000.00
Audi,A4,2016,Black,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,9.35,3590000.00
Audi,A4,2016,White,Petrol,220,4,Automatic,front wheel drive,4,E,Midsize,Sedan,9.35,3800000.00
Audi,A4,2016,Red,Petrol,220,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,3800000.00
Audi,A4,2016,Blue,Petrol,220,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,4010000.00
Audi,A6,2016,Silver,Petrol,252,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,4840000.00
Audi,Q3,2016,Black,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3370000.00
Audi,Q3,2016,Silver,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,3580000.00
Audi,Q3,2016,Blue,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3860000.00
Audi,Q3,2016,Red,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,4070000.00
Audi,Q5,2016,Black,Petrol,220,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.50,4090000.00
Audi,Q5,2016,White,Petrol,220,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.50,4275000.00
Audi,Q5,2016,Gray,Petrol,272,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,4600000.00
Audi,Q5,2016,Silver,Diesel,240,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,10.20,4810000.00
Audi,Q5,2016,Blue,Diesel,240,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,10.20,5020000.00
Audi,Q5,2016,Red,Hybrid,245,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,10.20,5250000.00
Audi,A6,2016,White,Petrol,252,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,5210000.00
Audi,A6,2016,Red,Petrol,333,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.50,5740000.00
Audi,A6,2016,Blue,Diesel,240,6,Automatic,all wheel drive,4,E,Midsize,Sedan,10.63,5950000.00
Audi,A6,2016,Gray,Petrol,333,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.50,6160000.00
Audi,A6,2016,Silver,Diesel,240,6,Automatic,all wheel drive,4,E,Midsize,Sedan,10.63,6370000.00
Audi,A7,2016,Black,Petrol,333,6,Automatic,all wheel drive,4,F,Large,Sedan,8.50,6830000.00
Audi,A7,2016,Silver,Diesel,240,6,Automatic,all wheel drive,4,F,Large,Sedan,10.63,7040000.00
Audi,A7,2016,Red,Petrol,333,6,Automatic,all wheel drive,4,F,Large,Sedan,8.50,7095000.00
Audi,A7,2016,Blue,Diesel,240,6,Automatic,all wheel drive,4,F,Large,Sedan,10.20,7305000.00
Audi,A8,2016,Black,Petrol,333,6,Automatic,all wheel drive,4,F,Large,Sedan,7.65,8150000.00
Audi,A8,2016,White,Diesel,240,6,Automatic,all wheel drive,4,F,Large,Sedan,10.20,8520000.00
Audi,SQ5,2016,Red,Petrol,354,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.23,5330000.00
Audi,SQ5,2016,Blue,Petrol,354,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.23,6080000.00
Audi,A8,2016,Silver,Petrol,450,8,Automatic,all wheel drive,4,F,Large,Sedan,7.65,9050000.00
Audi,A8,2016,Red,Petrol,500,12,Automatic,all wheel drive,4,F,Large,Sedan,5.95,13790000.00
Audi,RS 7,2016,Black,Petrol,560,8,Automatic,all wheel drive,4,F,Large,Sedan,6.38,10890000.00
Audi,S8,2016,Black,Petrol,605,8,Automatic,all wheel drive,4,F,Large,Sedan,6.38,11490000.00
Audi,S8,2016,White,Petrol,520,8,Automatic,all wheel drive,4,F,Large,Sedan,6.80,11490000.00
Audi,A3,2016,Black,Petrol,170,4,Automated manual,front wheel drive,4,C,Compact,Sedan,9.78,3090000.00
Audi,A3,2017,Red,Petrol,220,4,Automated manual,all wheel drive,4,C,Compact,Sedan,11.05,4315000.00
Audi,A3,2016,Silver,Petrol,170,4,Automated manual,front wheel drive,4,C,Compact,Sedan,9.78,3360000.00
Audi,A3,2016,Red,Petrol,220,4,Automated manual,all wheel drive,4,C,Compact,Sedan,10.20,3420000.00
Audi,A3,2016,Blue,Petrol,170,4,Automated manual,front wheel drive,4,C,Compact,Sedan,9.78,3440000.00
BMW,5 Series,2015,Black,Diesel,255,6,Automatic,rear wheel drive,4,E,Large,Sedan,11.05,5710000.00
BMW,5 Series,2015,White,Diesel,255,6,Automatic,all wheel drive,4,E,Large,Sedan,11.05,5940000.00
Audi,A4,2016,Black,Petrol,220,4,Manual,all wheel drive,4,E,Midsize,Sedan,9.35,3700000.00
Audi,A4,2016,White,Petrol,220,4,Manual,all wheel drive,4,E,Midsize,Sedan,9.35,3910000.00
Audi,S3,2016,Black,Petrol,292,4,Automated manual,all wheel drive,4,C,Compact,Sedan,9.78,4250000.00
Audi,A6,2016,Black,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.20,4620000.00
Audi,S3,2016,White,Petrol,292,4,Automated manual,all wheel drive,4,C,Compact,Sedan,9.78,4865000.00
Audi,S4,2016,Black,Petrol,333,6,Manual,all wheel drive,4,E,Midsize,Sedan,7.23,4920000.00
Audi,A6,2016,White,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.20,4990000.00
Audi,S4,2016,White,Petrol,333,6,Automated manual,all wheel drive,4,E,Midsize,Sedan,7.65,5020000.00
Audi,S4,2016,Silver,Petrol,333,6,Manual,all wheel drive,4,E,Midsize,Sedan,7.23,5510000.00
Audi,S4,2016,Gray,Petrol,333,6,Automated manual,all wheel drive,4,E,Midsize,Sedan,7.65,5610000.00
Audi,S6,2016,Black,Petrol,450,8,Automated manual,all wheel drive,4,E,Midsize,Sedan,7.65,7090000.00
Audi,S6,2016,White,Petrol,450,8,Automated manual,all wheel drive,4,E,Midsize,Sedan,7.65,7530000.00
Audi,S7,2016,Black,Petrol,450,8,Automated manual,all wheel drive,4,F,Large,Sedan,7.23,8290000.00
Audi,A5,2017,Blue,Petrol,220,4,Automatic,all wheel drive,2,S,Midsize,Coupe,6.38,4220000.00
Audi,A5,2017,Red,Petrol,220,4,Automatic,all wheel drive,2,S,Midsize,Convertible,6.38,4860000.00
Audi,Q3,2017,Black,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3180000.00
Audi,Q3,2017,White,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,3390000.00
Audi,Q3,2017,Gray,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3450000.00
Audi,Q3,2017,Silver,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,3660000.00
Audi,Q3,2017,Blue,Petrol,200,4,Automatic,front wheel drive,4,J,Compact,4dr SUV,8.50,3920000.00
Audi,Q3,2017,Red,Petrol,200,4,Automatic,all wheel drive,4,J,Compact,4dr SUV,8.50,4130000.00
Audi,Q5,2017,Black,Petrol,220,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.50,4090000.00
Audi,Q5,2017,Red,Petrol,220,4,Automatic,all wheel drive,4,J,Midsize,4dr SUV,8.50,4315000.00
Audi,Q5,2017,White,Petrol,272,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,4640000.00
Audi,Q5,2017,Silver,Petrol,272,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.65,5320000.00
Audi,Q7,2017,Black,Petrol,333,6,Automatic,all wheel drive,4,J,Large,4dr SUV,8.08,5480000.00
Audi,Q7,2017,Red,Petrol,333,6,Automatic,all wheel drive,4,J,Large,4dr SUV,8.08,5880000.00
Audi,Q7,2017,Blue,Petrol,333,6,Automatic,all wheel drive,4,J,Large,4dr SUV,8.08,6430000.00
Audi,A6,2017,Black,Petrol,252,4,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,5380000.00
Audi,A6,2017,White,Petrol,333,6,Automatic,all wheel drive,4,E,Midsize,Sedan,8.93,5860000.00
Audi,A6,2017,Silver,Petrol,333,6,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,6160000.00
Audi,A6,2017,Red,Petrol,340,6,Automatic,all wheel drive,4,E,Midsize,Sedan,9.35,6760000.00
Audi,A7,2017,Gray,Petrol,333,6,Automatic,all wheel drive,4,F,Large,Sedan,8.93,6880000.00
Audi,A7,2017,Silver,Petrol,333,6,Automatic,all wheel drive,4,F,Large,Sedan,8.93,7135000.00
Audi,SQ5,2017,Silver,Petrol,354,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.23,5330000.00
Audi,SQ5,2017,Black,Petrol,354,6,Automatic,all wheel drive,4,J,Midsize,4dr SUV,7.23,6080000.00
Audi,A8,2017,Black,Petrol,333,6,Automatic,all wheel drive,4,F,Large,Sedan,8.08,8250000.00
Audi,RS 7,2017,Black,Petrol,560,8,Automatic,all wheel drive,4,F,Large,Sedan,6.38,11070000.00
Audi,S8,2017,Red,Petrol,605,8,Automatic,all wheel drive,4,F,Large,Sedan,6.38,11590000.00
Audi,A8,2017,White,Petrol,450,8,Automatic,all wheel drive,4,F,Large,Sedan,7.65,9150000.00
BMW,5 Series,2016,Black,Diesel,255,6,Automatic,rear wheel drive,4,E,Large,Sedan,11.05,5735000.00
Audi,A4,2017,Black,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.63,3730000.00
BMW,5 Series,2016,White,Diesel,255,6,Automatic,all wheel drive,4,E,Large,Sedan,11.05,5965000.00
Audi,A4,2017,White,Petrol,252,4,Automated manual,all wheel drive,4,E,Midsize,Sedan,10.20,3940000.00
Audi,A4,2017,Red,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.63,4110000.00
Audi,A4,2017,Silver,Petrol,252,4,Automated manual,all wheel drive,4,E,Midsize,Sedan,10.20,4235000.00
Audi,S3,2017,Red,Petrol,292,4,Automated manual,all wheel drive,4,C,Compact,Sedan,8.93,4290000.00
Chevrolet,Cruze,2015,Black,Petrol,138,4,Automatic,front wheel drive,4,E,Midsize,Sedan,11.05,2327000.00
Audi,A4,2017,Gray,Petrol,252,4,Automated manual,all wheel drive,4,E,Midsize,Sedan,10.20,4320000.00
Audi,A4,2017,Blue,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.63,4590000.00
Audi,A6,2017,Red,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.20,4760000.00
Audi,S3,2017,White,Petrol,292,4,Automated manual,all wheel drive,4,C,Compact,Sedan,8.93,4840000.00
Audi,A6,2017,White,Petrol,252,4,Automated manual,front wheel drive,4,E,Midsize,Sedan,10.20,5160000.00
Audi,S6,2017,Black,Petrol,450,8,Automated manual,all wheel drive,4,E,Midsize,Sedan,7.65,7090000.00
Audi,S6,2017,White,Petrol,450,8,Automated manual,all wheel drive,4,E,Midsize,Sedan,7.65,7410000.00
